1602 1135 1787 1295 1361 1389 1402 1745 1037 1210
1300 1005 1659 1370 1415 1875 1704 1174 1685 1051
1852 1708 1673 1580 1139 1218 1811 1591 1103 1762
1450 1354 1250 1311 1496 1608 1109 1477 1406 1548
1878 1359 1189 1746 1212 1327 1985 1014 1678 1064
1350 1038 1305 1741 1485 1867 1456 1113 1998 1322
1609 1105 1677 1088 1744 1885 1665 1287 1837 1998
1506 1448 1737 1882 1779 1473 1889 1266 1802 1460
1238 1204 1998 1496 1634 1917 1819 1920 1223 1200
1002 1126 1071 1911 1425 1515 1617 1018 1955 1407
1936 1294 1120 1635 1706 1543 1029 1267 1708 1072
1184 1037 1360 1852 1563 1040 1121 1280 1741 1695
1637 1197 1156 1676 1666 1406 1709 1157 1059 1115
1937 1949 1966 1908 1045 1956 1992 1687 1555 1765
1657 1311 1280 1734 1854 1280 1985 1780 1134 1204
1887 1538 1590 1795 1817 1344 1470 1155 1659 1120
1799 1055 1720 1353 1726 1745 1750 1488 1595 1852
1209 1833 1912 1989 1810 1540 1860 1058 1516 1747
1474 1279 1196 1302 1055 1895 1008 1125 1806 1845
1173 1128 1844 1092 1085 1961 1353 1682 1576 1155
1805 1170 1081 1440 1267 1805 1443 1724 1273 1244
1455 1451 1092 1475 1521 1713 1279 1880 1316 1984
1089 1832 1684 1153 1807 1268 1097 1166 1707 1569
1894 1543 1964 1914 1758 1945 1232 1491 1211 1412
1399 1729 1749 1124 1594 1856 1692 1754 1945 1921
1842 1058 1701 1502 1610 1041 1016 1433 1675 1727
1463 1208 1401 1595 1131 1476 1981 1235 1087 1307
1069 1529 1301 1635 1451 1448 1041 1662 1092 1426
1801 1810 1997 1166 1704 1868 1390 1027 1367 1895
1451 1113 1724 1490 1052 1883 1547 1738 1517 1747
